 Length , Weight (g) 
 9.00 , 30.00 
 9.00 , 39.00 
 9.00 , 52.00 
 9.00 , 42.00 
 9.00 , 44.00 
 9.00 , 48.00 
 9.00 , 44.00 
 9.00 , 40.00 
 9.00 , 61.00 
 9.00 , 43.00 
 9.00 , 36.00 
 9.00 , 44.00 
 9.00 , 39.00 
 9.00 , 56.00 
 9.00 , 65.00 
 9.00 , 63.00 
 9.00 , 51.00 
 9.00 , 59.00 
 9.00 , 62.00 
 9.00 , 38.00 
 9.00 , 45.00 
 9.00 , 43.00 
 9.00 , 42.00 
 9.00 , 41.00 
 9.00 , 41.00 
 9.00 , 45.00 
 9.00 , 47.00 
 9.00 , 62.00 
 9.00 , 60.00 
 9.00 , 60.00 
 9.00 , 45.00 
 9.00 , 46.00 
 9.00 , 38.00 
 9.00 , 42.00 
 9.00 , 37.00 
 9.00 , 38.00 
 9.00 , 39.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 45.00 
 9.00 , 50.00 
 9.00 , 61.00 
 9.00 , 70.00 
 9.00 , 40.00 
 9.00 , 30.00 
 9.00 , 42.00 
 9.00 , 98.00 
 9.00 , 49.00 
 9.00 , 46.00 
 9.00 , 50.00 
 9.00 , 51.00 
 9.00 , 52.00 
 9.00 , 48.00 
 9.00 , 50.00 
 9.00 , 50.00 
 9.00 , 50.00 
 9.00 , 52.00 
 9.00 , 49.00 
 9.00 , 89.00 
 9.00 , 41.00 
 9.00 , 65.00 
 9.00 , 45.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 30.00 
 9.00 , 30.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 30.00 
 9.00 , 35.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 30.00 
 9.00 , 30.00 
 9.00 , 48.00 
 9.00 , 50.00 
 9.00 , 48.00 
 9.00 , 46.00 
 9.00 , 52.00 
 9.00 , 59.00 
 9.00 , 45.00 
 9.00 , 40.00 
 9.00 , 49.00 
 9.00 , 55.00 
 9.00 , 41.00 
 9.10 , 62.00 
 9.10 , 56.00 
 9.10 , 39.00 
 9.10 , 40.00 
 9.10 , 40.00 
 9.10 , 50.00 
 9.10 , 50.00 
 9.10 , 51.00 
 9.10 , 59.00 
 9.10 , 40.00 
 9.10 , 44.00 
 9.10 , 74.00 
 9.10 , 87.00 
 9.10 , 67.00 
 9.10 , 71.00 
 9.10 , 39.00 
 9.10 , 39.00 
 9.10 , 35.00 
 9.10 , 46.00 
 9.10 , 43.00 
 9.10 , 40.00 
 9.10 , 42.00 
 9.10 , 40.00 
 9.10 , 50.00 
 9.10 , 56.00 
 9.10 , 56.00 
 9.10 , 52.00 
 9.10 , 66.00 
 9.10 , 54.00 
 9.10 , 46.00 
 9.10 , 50.00 
 9.10 , 34.70 
 9.10 , 45.00 
 9.10 , 57.00 
 9.10 , 60.00 
 9.10 , 61.00 
 9.10 , 58.00 
 9.10 , 43.00 
 9.10 , 51.00 
 9.10 , 48.00 
 9.10 , 46.00 
 9.10 , 43.00 
 9.10 , 40.00 
 9.10 , 50.00 
 9.10 , 50.00 
 9.10 , 50.00 
 9.10 , 50.00 
 9.10 , 81.00 
 9.10 , 77.00 
 9.10 , 79.00 
 9.10 , 78.00 
 9.10 , 81.00 
 9.10 , 78.00 
 9.10 , 62.00 
 9.10 , 56.00 
 9.10 , 46.00 
 9.10 , 80.00 
 9.10 , 50.00 
 9.10 , 60.00 
 9.10 , 48.00 
 9.10 , 59.00 
 9.10 , 60.00 
 9.10 , 48.00 
 9.10 , 50.00 
 9.10 , 85.00 
 9.10 , 92.00 
 9.10 , 88.00 
 9.10 , 88.00 
 9.10 , 74.00 
 9.10 , 71.00 
 9.10 , 65.00 
 9.10 , 66.00 
 9.10 , 40.00 
 9.10 , 85.00 
 9.10 , 30.00 
 9.10 , 30.00 
 9.10 , 40.00 
 9.10 , 30.00 
 9.10 , 45.00 
 9.10 , 30.00 
 9.10 , 30.00 
 9.10 , 40.00 
 9.10 , 90.00 
 9.10 , 50.00 
 9.10 , 50.00 
 9.10 , 50.00 
 9.10 , 75.00 
 9.10 , 77.00 
 9.10 , 77.00 
 9.10 , 82.00 
 9.10 , 77.00 
 9.10 , 84.00 
 9.10 , 79.00 
 9.10 , 74.00 
 9.10 , 87.00 
 9.10 , 53.00 
 9.10 , 46.00 
 9.10 , 46.00 
 9.10 , 47.00 
 9.10 , 40.00 
 9.10 , 44.00 
 9.10 , 51.00 
 9.10 , 54.00 
 9.10 , 51.00 
 9.10 , 39.00 
 9.20 , 48.00 
 9.20 , 50.00 
 9.20 , 57.00 
 9.20 , 49.00 
 9.20 , 42.00 
 9.20 , 42.00 
 9.20 , 40.00 
 9.20 , 50.00 
 9.20 , 46.00 
 9.20 , 46.00 
 9.20 , 50.00 
 9.20 , 60.00 
 9.20 , 50.00 
 9.20 , 45.00 
 9.20 , 45.00 
 9.20 , 30.00 
 9.20 , 30.00 
 9.20 , 55.00 
 9.20 , 39.00 
 9.20 , 45.00 
 9.20 , 42.00 
 9.20 , 38.00 
 9.20 , 58.00 
 9.20 , 53.00 
 9.20 , 64.00 
 9.20 , 60.00 
 9.20 , 55.00 
 9.20 , 51.00 
 9.20 , 40.00 
 9.20 , 42.00 
 9.20 , 55.00 
 9.20 , 37.00 
 9.20 , 40.00 
 9.20 , 20.00 
 9.20 , 45.00 
 9.20 , 64.00 
 9.20 , 77.00 
 9.20 , 65.00 
 9.20 , 64.00 
 9.20 , 69.00 
 9.20 , 61.00 
 9.20 , 42.00 
 9.20 , 43.00 
 9.20 , 37.00 
 9.20 , 43.00 
 9.20 , 42.00 
 9.20 , 39.00 
 9.20 , 41.00 
 9.20 , 37.00 
 9.20 , 45.00 
 9.20 , 40.00 
 9.20 , 58.00 
 9.20 , 61.00 
 9.20 , 42.00 
 9.20 , 63.00 
 9.20 , 55.00 
 9.20 , 53.00 
 9.20 , 78.00 
 9.20 , 69.00 
 9.20 , 51.00 
 9.20 , 45.00 
 9.20 , 41.00 
 9.20 , 42.00 
 9.20 , 50.00 
 9.20 , 46.00 
 9.20 , 45.20 
 9.20 , 58.00 
 9.20 , 56.00 
 9.20 , 62.00 
 9.20 , 59.00 
 9.20 , 54.00 
 9.20 , 63.00 
 9.20 , 60.00 
 9.20 , 47.00 
 9.20 , 49.00 
 9.20 , 49.00 
 9.20 , 48.00 
 9.20 , 46.00 
 9.20 , 41.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 50.00 
 9.20 , 50.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 40.00 
 9.20 , 74.00 
 9.20 , 72.00 
 9.20 , 57.00 
